"accession" "gene" "species"
"WP_301883967.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_287756283.1" "aspartate/glutamate racemase family protein" "Achromobacter sp."
"WP_338879004.1" "aspartate/glutamate racemase family protein" "Achromobacter veterisilvae"
"QCS65575.1" "arylmalonate decarboxylase" "Achromobacter denitrificans"
"WP_188590106.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_277757195.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_062680184.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_427980578.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_276262019.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_088447716.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_175211164.1" "aspartate/glutamate racemase family protein" "Achromobacter anxifer"
"WP_125283514.1" "aspartate/glutamate racemase family protein" "Achromobacter denitrificans"
"WP_277353122.1" "aspartate/glutamate racemase family protein" "Achromobacter anxifer"
"WP_094830553.1" "aspartate/glutamate racemase family protein" "Bordetella genomosp. 1"
"WP_094829000.1" "aspartate/glutamate racemase family protein" "Bordetella genomosp. 1"
"WP_330916770.1" "aspartate/glutamate racemase family protein" "Bordetella sp."
"WP_094804638.1" "aspartate/glutamate racemase family protein" "Bordetella genomosp. 5"
"WP_094859305.1" "aspartate/glutamate racemase family protein" "Bordetella genomosp. 5"
"MFJ1300544.1" "aspartate/glutamate racemase family protein" "Pseudomonadota bacterium AL_CKDN230030165-1A_HGKHYDSX7"
"GAA5233190.1" "aspartate/glutamate racemase family protein" "Verticiella sediminum"
"WP_143949579.1" "aspartate/glutamate racemase family protein" "Verticiella sediminum"
"WP_093245797.1" "arylmalonate decarboxylase" "Variovorax sp. EL159"
"MBI5443836.1" "aspartate/glutamate racemase family protein" "Deltaproteobacteria bacterium"
"WP_394485270.1" "arylmalonate decarboxylase" "Variovorax sp. VaC1"
"WP_354327278.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_184604319.1" "arylmalonate decarboxylase" "Variovorax sp. BK613"
"WP_019654240.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_354406631.1" "arylmalonate decarboxylase" "Variovorax sp. 1133"
"WP_416490855.1" "aspartate/glutamate racemase family protein" "Variovorax sp. tm"
"WP_280815509.1" "aspartate/glutamate racemase family protein" "Variovorax sp. TBS-050B"
"WP_145760507.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_126182769.1" "arylmalonate decarboxylase" "Variovorax sp. 369"
"WP_354421862.1" "arylmalonate decarboxylase" "Variovorax sp. 1140"
"WP_418119444.1" "arylmalonate decarboxylase" "Variovorax sp. 350MFTsu5.1"
"WP_021006034.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_395320605.1" "arylmalonate decarboxylase" "Variovorax sp. UC74_104"
"WP_116908374.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_286654592.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J22R187"
"WP_286535448.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J31P179"
"WP_301805277.1" "aspartate/glutamate racemase family protein" "Variovorax ginsengisoli"
"WP_047784410.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_369659341.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_286368564.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J31P216"
"WP_369650248.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_187108208.1" "arylmalonate decarboxylase" "Variovorax sp. PAMC26660"
"WP_124457879.1" "arylmalonate decarboxylase" "Variovorax sp. KBW07"
"WP_124957288.1" "aspartate/glutamate racemase family protein" "Variovorax beijingensis"
"WP_209499831.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_309933020.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_184635341.1" "aspartate/glutamate racemase family protein" "Variovorax guangxiensis"
"WP_192328461.1" "aspartate/glutamate racemase family protein" "Variovorax sp. VRV01"
"WP_309949934.1" "arylmalonate decarboxylase" "Variovorax"
"MES2245704.1" "arylmalonate decarboxylase" "Pseudomonadota bacterium"
"WP_408476767.1" "aspartate/glutamate racemase family protein" "Paraburkholderia megapolitana"
"WP_408379503.1" "aspartate/glutamate racemase family protein" "Paraburkholderia megapolitana"
"WP_307698557.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_095949642.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_307694891.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_126023211.1" "arylmalonate decarboxylase" "Variovorax guangxiensis"
"WP_093205368.1" "arylmalonate decarboxylase" "Variovorax"
"WP_106935368.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"HEX7440528.1" "arylmalonate decarboxylase" "Caldimonas sp."
"WP_371087894.1" "arylmalonate decarboxylase" "Variovorax sp. RCC_210"
"WP_390341767.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_139703153.1" "arylmalonate decarboxylase" "Variovorax sp. KBS0712"
"WP_324999206.1" "aspartate/glutamate racemase family protein" "Ramlibacter sp."
"WP_093305826.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_099795469.1" "aspartate/glutamate racemase family protein" "Variovorax sp. 54"
"WP_418130884.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_301507135.1" "aspartate/glutamate racemase family protein" "Variovorax sp. CAN15"
"WP_070062163.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_119555836.1" "aspartate/glutamate racemase family protein" "Acidovorax cavernicola"
"WP_093211327.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_093123777.1" "arylmalonate decarboxylase" "Variovorax sp. OK605"
"WP_093049049.1" "arylmalonate decarboxylase" "Variovorax"
"WP_237679113.1" "aspartate/glutamate racemase family protein" "Variovorax"
"WP_422087917.1" "arylmalonate decarboxylase" "Variovorax sp."
"WP_187108208.1" "arylmalonate decarboxylase" "Variovorax sp. PAMC26660"
"WP_184604319.1" "arylmalonate decarboxylase" "Variovorax sp. BK613"
"WP_354406631.1" "arylmalonate decarboxylase" "Variovorax sp. 1133"
"WP_339089609.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_295978490.1" "aspartate/glutamate racemase family protein" "uncultured Variovorax sp."
"WP_354327278.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_126182769.1" "arylmalonate decarboxylase" "Variovorax sp. 369"
"WP_145760507.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_285412203.1" "aspartate/glutamate racemase family protein" "Variovorax sp. efr-133-TYG-130"
"WP_093245797.1" "arylmalonate decarboxylase" "Variovorax sp. EL159"
"WP_019654240.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_106935368.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_426391736.1" "arylmalonate decarboxylase" "Variovorax sp. R-27"
"WP_119555836.1" "aspartate/glutamate racemase family protein" "Acidovorax cavernicola"
"WP_116908374.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_354421862.1" "arylmalonate decarboxylase" "Variovorax sp. 1140"
"WP_394485270.1" "arylmalonate decarboxylase" "Variovorax sp. VaC1"
"WP_416490855.1" "aspartate/glutamate racemase family protein" "Variovorax sp. tm"
"WP_081265773.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_395320605.1" "arylmalonate decarboxylase" "Variovorax sp. UC74_104"
"WP_309949934.1" "arylmalonate decarboxylase" "Variovorax"
"WP_418119444.1" "arylmalonate decarboxylase" "Variovorax sp. 350MFTsu5.1"
"WP_124457879.1" "arylmalonate decarboxylase" "Variovorax sp. KBW07"
"WP_413314279.1" "arylmalonate decarboxylase" "Variovorax sp. Varisp36"
"WP_371087894.1" "arylmalonate decarboxylase" "Variovorax sp. RCC_210"
"WP_409166819.1" "arylmalonate decarboxylase" "Variovorax sp. H27-G14"
"WP_369659341.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_369650248.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_209499831.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_192328461.1" "aspartate/glutamate racemase family protein" "Variovorax sp. VRV01"
"WP_198785805.1" "arylmalonate decarboxylase" "Variovorax sp. IB41"
"WP_307698557.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"MES2245704.1" "arylmalonate decarboxylase" "Pseudomonadota bacterium"
"WP_184635341.1" "aspartate/glutamate racemase family protein" "Variovorax guangxiensis"
"WP_301507135.1" "aspartate/glutamate racemase family protein" "Variovorax sp. CAN15"
"WP_309933020.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_099795469.1" "aspartate/glutamate racemase family protein" "Variovorax sp. 54"
"WP_307586513.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_126023211.1" "arylmalonate decarboxylase" "Variovorax guangxiensis"
"WP_095949642.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_021006034.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_062479783.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_307694891.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_159273127.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_192195332.1" "aspartate/glutamate racemase family protein" "Variovorax sp. 38R"
"WP_093205368.1" "arylmalonate decarboxylase" "Variovorax"
"WP_062362927.1" "aspartate/glutamate racemase family protein" "Variovorax"
"WP_124957288.1" "aspartate/glutamate racemase family protein" "Variovorax beijingensis"
"WP_139703153.1" "arylmalonate decarboxylase" "Variovorax sp. KBS0712"
"WP_418130884.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_159275557.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_278881411.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_047784410.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_095746532.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_056572248.1" "aspartate/glutamate racemase family protein" "Variovorax sp. Root473"
"WP_319357190.1" "aspartate/glutamate racemase family protein" "Variovorax sp. EBFNA2"
"WP_070062163.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_125947686.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_198088032.1" "arylmalonate decarboxylase" "Variovorax sp. E3"
"WP_153282383.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_018903196.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_369629876.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_176668093.1" "aspartate/glutamate racemase family protein" "Variovorax sp. SG517"
"WP_412510485.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_241027187.1" "arylmalonate decarboxylase" "Variovorax sp. RKNM96"
"WP_145741285.1" "aspartate/glutamate racemase family protein" "Variovorax beijingensis"
"WP_307596238.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_390341767.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_369646018.1" "aspartate/glutamate racemase family protein" "Variovorax sp. V118"
"WP_093305826.1" "arylmalonate decarboxylase" "unclassified Variovorax"
"WP_126745671.1" "aspartate/glutamate racemase family protein" "Variovorax sp. DXTD-1"
"WP_093440193.1" "arylmalonate decarboxylase" "Variovorax sp. 770b2"
"WP_301805277.1" "aspartate/glutamate racemase family protein" "Variovorax ginsengisoli"
"WP_286535448.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J31P179"
"WP_286368564.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J31P216"
"WP_319441145.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_354342630.1" "arylmalonate decarboxylase" "Variovorax boronicumulans"
"WP_286654592.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J22R187"
"WP_418146834.1" "aspartate/glutamate racemase family protein" "Variovorax paradoxus"
"WP_257863477.1" "arylmalonate decarboxylase" "Variovorax sp. ZS18.2.2"
"WP_258504607.1" "aspartate/glutamate racemase family protein" "unclassified Variovorax"
"WP_319430446.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_337295635.1" "aspartate/glutamate racemase family protein" "Variovorax sp. CCNWLW225"
"WP_307654887.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_286526439.1" "aspartate/glutamate racemase family protein" "Variovorax sp. J31P207"
"WP_101493195.1" "aspartate/glutamate racemase family protein" "Variovorax sp. RO1"
"WP_042578422.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_280815509.1" "aspartate/glutamate racemase family protein" "Variovorax sp. TBS-050B"
"WP_208507404.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_203204763.1" "arylmalonate decarboxylase" "Variovorax paradoxus"
"WP_395348559.1" "arylmalonate decarboxylase" "Variovorax sp. UC122_21"
"WP_296784109.1" "arylmalonate decarboxylase" "Variovorax sp."
"WP_261215694.1" "arylmalonate decarboxylase" "Variovorax sp. CY25R-8"
"WP_286508300.1" "arylmalonate decarboxylase" "Variovorax sp. J22P271"
"WP_093355664.1" "arylmalonate decarboxylase" "Variovorax sp. PDC80"
"MEM1610071.1" "aspartate/glutamate racemase family protein" "Sulfolobales archaeon"
"MCD6503102.1" "aspartate/glutamate racemase family protein" "Methanobacteriota archaeon"
"RLG84198.1" "maleate cis-trans isomerase" "Thermoprotei archaeon"
"MGC9149110.1" "maleate cis-trans isomerase" "Sulfolobales archaeon"
"MDK2983694.1" "maleate isomerase" "Thermococcaceae archaeon"
"MEB3774506.1" "aspartate/glutamate racemase family protein" "Desulfurococcales archaeon"
"MCD6503739.1" "aspartate/glutamate racemase family protein" "Methanobacteriota archaeon"
"WP_004067409.1" "maleate cis-trans isomerase" "Thermococcus litoralis"
"WP_042699300.1" "maleate cis-trans isomerase" "Thermococcus"
"WP_058946496.1" "maleate cis-trans isomerase" "Thermococcus sp. 2319x1"
"WP_252742551.1" "maleate cis-trans isomerase" "Thermococcus alcaliphilus"
"AEC52690.1" "arylmalonate decarboxylase" "Pyrococcus sp. NA2"
"RLF80199.1" "maleate cis-trans isomerase" "Thermococci archaeon"
"WP_087035326.1" "maleate cis-trans isomerase" "Thermococcus litoralis"
"HIH72248.1" "maleate cis-trans isomerase" "Thermococcaceae archaeon"
"WP_253304294.1" "maleate cis-trans isomerase" "Thermococcus aggregans"
"WP_175161428.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"WP_010868218.1" "maleate cis-trans isomerase" "Pyrococcus abyssi"
"WP_048152527.1" "maleate cis-trans isomerase" "Palaeococcus ferrophilus"
"WP_310532235.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"WP_010885234.1" "maleate cis-trans isomerase" "Pyrococcus horikoshii"
"WP_088862690.1" "maleate cis-trans isomerase" "Thermococcus celer"
"WP_068664027.1" "maleate cis-trans isomerase" "Thermococcus piezophilus"
"MCD6157733.1" "aspartate/glutamate racemase family protein" "Methanobacteriota archaeon"
"WP_048055309.1" "maleate cis-trans isomerase" "Pyrococcus sp. NA2"
"WP_013467435.1" "maleate cis-trans isomerase" "Thermococcus barophilus"
"WP_056933969.1" "maleate cis-trans isomerase" "Thermococcus barophilus"
"WP_167886878.1" "maleate cis-trans isomerase" "unclassified Thermococcus"
"WP_167729777.1" "maleate cis-trans isomerase" "Thermococcus sp. GR6"
"WP_010885075.1" "maleate cis-trans isomerase" "Pyrococcus horikoshii"
"WP_324736260.1" "maleate cis-trans isomerase" "Thermococcus sp. SY098"
"3IXM_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_015849494.1" "maleate cis-trans isomerase" "Thermococcus sibiricus"
"WP_297189599.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_283218018.1" "maleate cis-trans isomerase" "Thermococcus"
"WP_251948825.1" "maleate cis-trans isomerase" "Thermococcus argininiproducens"
"RLF81432.1" "maleate cis-trans isomerase" "Thermococci archaeon"
"WP_013905513.1" "maleate cis-trans isomerase" "Pyrococcus yayanosii"
"WP_088882936.1" "maleate cis-trans isomerase" "Thermococcus sp. P6"
"MEB3779350.1" "aspartate/glutamate racemase family protein" "Desulfurococcales archaeon"
"WP_297437079.1" "maleate cis-trans isomerase" "Thermococcus sp."
"RLF77256.1" "maleate cis-trans isomerase" "Thermococci archaeon"
"MEM0472940.1" "aspartate/glutamate racemase family protein" "Sulfolobales archaeon"
"WP_297128665.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_317894668.1" "maleate cis-trans isomerase" "Pyrofollis japonicus"
"WP_167907810.1" "maleate cis-trans isomerase" "Thermococcus sp. CX2"
"WP_167900929.1" "maleate cis-trans isomerase" "Thermococcus sp. LS1"
"WP_014789486.1" "maleate cis-trans isomerase" "Thermococcus cleftensis"
"PWV36658.1" "maleate cis-trans isomerase" "Desulfurococcaceae archaeon"
"WP_167716642.1" "maleate cis-trans isomerase" "Thermococcus sp. ES12"
"WP_297183941.1" "maleate cis-trans isomerase" "Thermococcus sp."
"HIP88669.1" "maleate cis-trans isomerase" "Thermococcus paralvinellae"
"WP_297062541.1" "maleate cis-trans isomerase" "Thermococcus sp."
"2VLB_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_048164952.1" "maleate cis-trans isomerase" "Palaeococcus pacificus"
"HIP74769.1" "maleate cis-trans isomerase" "Thermococcus paralvinellae"
"WP_012571971.1" "maleate cis-trans isomerase" "Thermococcus onnurineus"
"WP_297469840.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_176090764.1" "aspartate/glutamate racemase family protein" "Achromobacter anxifer"
"HDH44804.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_055281627.1" "maleate cis-trans isomerase" "Thermococcus sp. EP1"
"WP_062369975.1" "maleate cis-trans isomerase" "Thermococcus guaymasensis"
"RLF84862.1" "maleate cis-trans isomerase" "Thermococci archaeon"
"WP_173147724.1" "aspartate/glutamate racemase family protein" "Achromobacter pestifer"
"WP_297093493.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_088885234.1" "maleate cis-trans isomerase" "Thermococcus gorgonarius"
"MEM0439606.1" "aspartate/glutamate racemase family protein" "Sulfolobales archaeon"
"NAZ14209.1" "maleate cis-trans isomerase" "Desulfurococcales archaeon"
"WP_285518653.1" "maleate cis-trans isomerase" "Thermococcus nautili"
"WP_042690711.1" "maleate cis-trans isomerase" "Thermococcus"
"Q05115.1" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"3DG9_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_167773095.1" "maleate cis-trans isomerase" "Thermococcus sp. MV11"
"MEM1962364.1" "aspartate/glutamate racemase family protein" "Sulfolobales archaeon"
"WP_062373319.1" "maleate cis-trans isomerase" "Thermococcus guaymasensis"
"HDZ36389.1" "maleate cis-trans isomerase" "Thermococcus sp."
"MCE4598833.1" "aspartate/glutamate racemase family protein" "Desulfurococcales archaeon"
"MCC6062666.1" "aspartate/glutamate racemase family protein" "Desulfurococcales archaeon"
"WP_192328233.1" "aspartate/glutamate racemase family protein" "Achromobacter sp. ACM04"
"WP_088864925.1" "maleate cis-trans isomerase" "Thermococcus barossii"
"MEM2077565.1" "aspartate/glutamate racemase family protein" "Sulfolobales archaeon"
"WP_251879744.1" "aspartate/glutamate racemase family protein" "Achromobacter sp. Marseille-Q4954"
"WP_287197579.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_118933293.1" "aspartate/glutamate racemase family protein" "Achromobacter xylosoxidans"
"WP_280016214.1" "aspartate/glutamate racemase family protein" "unclassified Achromobacter"
"3DTV_B" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_054456370.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"WP_011249330.1" "maleate cis-trans isomerase" "Thermococcus"
"MCI4457691.1" "aspartate/glutamate racemase family protein" "Desulfurococcaceae archaeon"
"RLF84478.1" "maleate cis-trans isomerase" "Thermococci archaeon"
"WP_062387530.1" "maleate cis-trans isomerase" "Thermococcus peptonophilus"
"WP_167913720.1" "maleate cis-trans isomerase" "Thermococcus sp. 21S9"
"WP_297548136.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_167887966.1" "maleate cis-trans isomerase" "Thermococcus sp. MV5"
"WP_297508266.1" "maleate cis-trans isomerase" "Thermococcus sp."
"WP_088858004.1" "maleate cis-trans isomerase" "Thermococcus profundus"
"MGD2247411.1" "aspartate/glutamate racemase family protein" "Candidatus Methanofastidiosia archaeon"
"NPA47982.1" "maleate cis-trans isomerase" "Thermococci archaeon"
"WP_055429568.1" "maleate cis-trans isomerase" "Thermococcus thioreducens"
"WP_209473930.1" "maleate cis-trans isomerase" "Thermococcus stetteri"
